,gene_short_name,PC-1,PC-2,PC-3,PC-4,SMC-1,SMC-2,SMC-3,SMC-4
ENSMUSG00000031666,Rbl2,21.961,7.21708,27.8184,25.7357,8.09307,7.82603,11.621,18.7065
ENSMUSG00000031667,Aktip,31.1293,32.3659,36.0246,35.68,68.0458,75.2302,90.1017,108.309
ENSMUSG00000031668,Eif2ak3,6.8623,4.52692,7.92728,5.73819,2.18277,1.79323,1.6973,0.975784
ENSMUSG00000031669,Gins3,5.27041,5.18424,5.37023,2.16043,2.72589,1.86805,1.84968,0.701861
ENSMUSG00000031671,Setd6,8.17495,14.0341,17.6855,14.0397,16.7602,10.1137,9.67944,5.70064
ENSMUSG00000031672,Got2,71.7247,71.3231,68.6924,78.8323,49.1767,42.1953,64.5033,72.6525
ENSMUSG00000031673,Cdh11,2.88574,1.28162,1.75643,1.57917,32.9512,45.7952,19.8875,15.9274
ENSMUSG00000031681,Smad1,3.17218,3.50714,12.2876,15.4512,11.4564,10.9043,21.1451,11.7972
ENSMUSG00000031682,1700011L22Rik,0.0576281,0,0,0.106347,0,0,0,0
ENSMUSG00000031683,Lsm6,140.123,302.82,125.622,122.286,144.519,139.076,87.3108,102.753
ENSMUSG00000031684,Slc10a7,8.51124,7.50069,5.5443,5.08653,5.13071,6.40603,5.36129,5.52363
ENSMUSG00000031688,Pou4f2,0.0419953,0.0626087,0.283153,0,0.0272532,0,0,0
ENSMUSG00000031691,Tnpo2,1.44039,1.78117,3.11873,4.35809,0.861509,1.34815,2.88567,3.9068
ENSMUSG00000031696,Vps35,62.3329,38.3921,53.6343,67.9004,63.2484,88.159,86.3446,109.299
ENSMUSG00000031697,Orc6,26.8047,42.6721,21.9253,21.732,22.4078,19.517,15.2174,13.9163
ENSMUSG00000031698,Mylk3,0.0297029,5.25863,0.100049,0,0.144906,0.131379,0.587247,0.158287
ENSMUSG00000031700,Gpt2,3.03789,1.9675,1.5985,1.71986,10.5564,11.7235,11.9678,8.31686
ENSMUSG00000031701,Dnaja2,121.379,141.296,168.405,155.898,67.8284,83.4015,69.654,79.4503
ENSMUSG00000031703,Itfg1,21.8835,34.9547,42.3896,45.0282,64.341,65.1168,51.9886,54.921
ENSMUSG00000031706,Rfx1,2.3704,1.17822,2.28367,2.7849,0.768749,0.779036,1.15928,0.81016
ENSMUSG00000031708,Tecr,277.03,546.06,187.949,207.405,508.339,357.009,264.397,232.076
ENSMUSG00000031709,Tbc1d9,0.246175,0.181668,0.958757,1.64223,0.193637,0.224824,0.315541,0.83244
ENSMUSG00000031710,Ucp1,0.0298269,0.0999547,0.229619,0.578532,0.0291034,0.16259,0,0.0546199
ENSMUSG00000031711,Zfp330,42.682,40.2394,38.71,36.6743,29.9884,35.7288,32.9657,32.4134
ENSMUSG00000031712,Il15,1.53313,4.11273,2.12095,1.77231,7.46928,7.16401,8.7372,7.08968
ENSMUSG00000031714,Gab1,2.68806,1.85404,6.78567,7.29664,6.00507,9.61524,22.8461,30.7852
ENSMUSG00000031715,Smarca5,13.4928,9.64203,8.43257,8.76215,8.34509,9.33022,5.70319,5.93863
ENSMUSG00000031722,Hp,45.1999,78.8277,41.053,13.6301,30.6688,47.1703,37.3581,12.6435
ENSMUSG00000031723,Txnl4b,5.92389,11.5693,6.1651,5.12162,7.89923,6.86172,6.64613,5.91059
ENSMUSG00000031725,Ces1f,0.155546,0,0.0476822,0,0.153618,0.157713,0.0945858,0.220777
ENSMUSG00000031727,Pmfbp1,0,0.0146892,0.0253078,0,0.0127859,0.0119848,0.100518,0.168372
ENSMUSG00000031728,Zfp821,4.19124,4.23699,5.36464,5.04239,3.86559,2.84606,2.42137,3.0144
ENSMUSG00000031729,2400003C14Rik,124.231,112.474,104.329,86.1803,112.451,115.663,78.415,73.9604
ENSMUSG00000031730,Dhodh,22.1828,22.4384,17.0231,15.5363,19.5443,13.1572,16.6258,23.8681
ENSMUSG00000031731,Ap1g1,15.973,4.28689,21.7283,21.7679,7.14822,11.9828,14.4703,13.1826
ENSMUSG00000031732,Phlpp2,0.552845,0.541194,0.56049,0.266318,0.570711,0.521697,0.322724,0.443576
ENSMUSG00000031734,Irx3,0.039563,0.0370567,0.0190468,0.218886,0.387351,0.438112,0.697156,0.234621
ENSMUSG00000031736,4933436C20Rik,0.0845063,0.282979,0.365671,0.0390089,0.908713,1.95173,0.925294,0.464294
ENSMUSG00000031737,Irx5,0.0385275,0,0.0556477,0,0.206435,0.0701914,0.147261,0.0529105
ENSMUSG00000031738,Irx6,0,0,0,0,0,0,0,0
ENSMUSG00000031740,Mmp2,119.708,62.159,43.7549,56.0401,505.225,406.062,700.483,687.62
ENSMUSG00000031748,Gnao1,1.36955,2.75904,1.46646,1.41234,2.33791,2.65497,2.7757,3.0571
ENSMUSG00000031749,St3gal2,1.50458,1.25927,1.11358,2.42218,3.41213,2.05639,2.66985,2.82659
ENSMUSG00000031750,Il34,5.27551,9.39424,8.02955,8.40514,22.8924,22.5401,40.3969,45.8113
ENSMUSG00000031751,Amfr,12.344,16.2218,16.8554,16.4887,18.6244,7.88166,11.242,7.21658
ENSMUSG00000031753,Cog4,23.2513,13.8953,15.529,16.028,24.3374,29.2959,21.7051,20.2982
ENSMUSG00000031754,Nudt21,106.741,213.369,105.964,93.7688,56.9051,51.2276,29.9921,37.6394
ENSMUSG00000031755,Bbs2,4.66014,1.42416,4.47725,4.17305,7.52214,8.6971,7.02267,6.6166
ENSMUSG00000031756,Cenpn,6.59583,14.0653,4.18817,2.32584,1.78856,1.46794,1.14924,1.72905
ENSMUSG00000031757,Mt4,0,0,0,0,0,0,0,0
ENSMUSG00000031758,Cdyl2,10.9727,4.5029,8.64469,7.1077,1.58847,1.81736,2.43798,2.59931
ENSMUSG00000031760,Mt3,1.79539,3.31688,5.14845,7.42763,6.38188,3.96342,7.5716,11.918
ENSMUSG00000031762,Mt2,189.425,415.546,107.634,183.008,1289.61,933.628,1062.4,792.2
ENSMUSG00000031765,Mt1,617.987,1396.96,636.196,947.85,4349.95,3284.6,4417.3,4095.17
ENSMUSG00000031766,Slc12a3,0.20294,0.257177,0.0390959,0,0.0526761,0.0246838,0.038819,0
ENSMUSG00000031767,Nudt7,2.57933,5.44519,2.11897,2.01892,10.2443,7.96856,8.44241,9.23123
ENSMUSG00000031770,Herpud1,216.448,200.54,205.092,183.984,220.017,160.879,233.074,160.566
ENSMUSG00000031772,Cntnap4,0.191655,0.0964013,0,0,0.238481,0.335222,0.143591,0
ENSMUSG00000031774,Fam192a,34.5573,34.5595,31.0379,25.2249,27.9689,28.1725,23.0389,25.1256
ENSMUSG00000031775,Pllp,3.64772,5.20799,21.8471,18.978,2.81584,3.82464,26.2381,13.2896
ENSMUSG00000031776,Arl2bp,12.9852,35.4585,48.6625,76.8823,42.0974,27.3667,28.8793,25.2851
ENSMUSG00000031778,Cx3cl1,6.11885,2.22091,10.9065,9.78992,9.66649,11.5246,51.4842,45.0821
ENSMUSG00000031779,Ccl22,14.6147,37.3822,10.4568,16.1918,12.3098,36.1184,6.7489,8.80453
ENSMUSG00000031780,Ccl17,8.87303,33.2943,11.6159,8.9064,13.3835,39.9319,8.45482,9.02313
ENSMUSG00000031781,Ciapin1,111.259,147.188,93.9627,87.6215,69.3721,68.7587,57.6789,69.8691
ENSMUSG00000031782,Coq9,25.8179,20.8319,17.3762,21.0243,29.4164,30.3759,27.3616,22.9083
ENSMUSG00000031783,Polr2c,64.9234,109.858,52.7914,59.6748,91.0907,84.1411,76.6415,74.2774
ENSMUSG00000031785,Gpr56,11.5903,5.68501,6.57713,12.8068,11.0987,15.0769,64.5236,72.2505
ENSMUSG00000031786,Ccdc135,1.47488,0.627303,0,0.192588,0,0.0438454,0.0306532,0
ENSMUSG00000031787,Katnb1,9.06494,4.74782,7.85376,10.0149,2.68743,3.29153,4.87096,5.72343
ENSMUSG00000031788,Kifc3,1.11099,1.42169,2.57205,2.64083,2.28719,3.01762,9.51956,7.77586
ENSMUSG00000031789,Cngb1,0.0293645,0.0307955,0,0.0763503,0.177124,0.0838153,0.193246,0.319885
ENSMUSG00000031790,Mmp15,0.257208,0.180397,2.66722,2.39473,0.666944,1.00328,3.59835,2.91216
ENSMUSG00000031791,Tmem38a,5.28621,6.03333,3.57324,7.27379,11.949,12.3665,16.6071,24.1788
ENSMUSG00000031792,AA960436,32.063,37.2702,26.9477,27.2396,31.8401,23.9648,26.7295,21.0619
ENSMUSG00000031796,Gtl3,51.9251,83.6207,43.6228,37.9618,98.6304,80.9044,57.1587,48.6834
ENSMUSG00000031799,Tpm4,492.083,473.882,597.524,607.441,447.183,501.73,418.646,475.822
ENSMUSG00000031802,Phxr4,2.99797,4.21527,0.427216,1.05948,1.87996,1.74543,1.19914,0.847264
ENSMUSG00000031803,B3gnt3,2.69937,0.808131,2.23055,2.33102,6.34732,6.68561,29.7899,33.599
ENSMUSG00000031805,Jak3,19.7349,12.198,25.6705,29.136,1.8077,3.36159,13.9245,17.2084
ENSMUSG00000031807,Pgls,105.787,391.892,142.706,185.912,136.631,100.123,100.708,87.4753
ENSMUSG00000031808,Slc27a1,12.2155,10.3834,19.926,22.3359,14.3025,11.2544,39.8392,31.9126
ENSMUSG00000031809,1700018B08Rik,0.104176,0,0,0,0,0.319308,0,0
ENSMUSG00000031811,Fbxo31,0.478225,1.71752,2.93075,4.08569,2.22136,0.698153,2.19957,0.873982
ENSMUSG00000031812,Map1lc3b,433.111,689.348,432.52,393.913,557.125,467.878,538.257,493.095
ENSMUSG00000031813,Fam125a,91.7077,173.008,86.5951,105.057,105.061,73.7106,78.2434,72.2894
ENSMUSG00000031816,Mthfsd,14.3312,26.5782,12.26,12.2078,20.5786,20.6976,15.9154,12.1582
ENSMUSG00000031818,Cox4i1,995.33,2443.39,945.705,1080.23,1339.13,1066.1,1010.34,1108.46
ENSMUSG00000031819,Cox4nb,8.52777,14.9038,7.50259,7.78491,12.6863,9.99479,10.3059,9.5345
ENSMUSG00000031820,5430437P03Rik,45.6856,66.4356,30.6887,39.8477,42.6495,33.8373,39.0224,37.7727
ENSMUSG00000031821,Gins2,21.2586,41.5875,12.5972,7.05388,6.52092,6.45783,5.09987,4.57424
ENSMUSG00000031822,Gse1,2.57808,0.716271,5.56884,5.24121,0.123382,0.408661,1.1791,0.806846
ENSMUSG00000031823,Zdhhc7,1.18859,6.0959,14.2374,16.7113,4.57974,2.61299,5.14792,3.19008
ENSMUSG00000031824,6430548M08Rik,0.484295,0.68425,0.196385,0.614817,1.42379,0.942115,1.45482,0.836247
ENSMUSG00000031825,Crispld2,19.6098,11.3573,29.5842,43.9321,68.9024,66.5646,259.45,265.242
ENSMUSG00000031826,Usp10,40.7641,21.2072,55.7922,50.0129,13.8555,11.976,18.7878,20.4405
ENSMUSG00000031827,Cotl1,200.74,304.126,199.784,187.177,33.4955,26.8565,28.0115,25.3853
ENSMUSG00000031828,Klhl36,4.82491,8.16197,5.57425,5.71401,4.44583,4.15263,9.42658,11.2847
ENSMUSG00000031831,Lrrc50,0,0,0,0,0,0,0,0
ENSMUSG00000031832,Taf1c,5.43042,2.63353,9.3134,5.92787,1.01497,1.38096,2.06822,2.31471
ENSMUSG00000031833,Mast3,6.48333,5.45857,9.91321,10.5935,1.2035,1.22603,2.48938,2.26341
ENSMUSG00000031834,Pik3r2,7.46607,4.7753,11.905,13.2638,11.1854,11.4521,31.8237,35.8906
ENSMUSG00000031835,Mbtps1,19.9069,8.61696,23.7163,27.2468,16.5882,19.2111,41.8987,40.5862
ENSMUSG00000031837,Necab2,0,0.0268685,0,0,0.375101,0.144317,0.0363733,0
ENSMUSG00000031838,Ifi30,70.1658,137.721,62.2099,110.793,90.1613,72.386,43.5983,65.9289
ENSMUSG00000031839,Hsbp1,129.501,236.368,106.676,117.133,281.486,237.937,199.463,210.849
ENSMUSG00000031840,Rab3a,4.94535,7.77972,2.17269,5.75295,10.3257,9.37044,14.5079,17.2583
ENSMUSG00000031841,Cdh13,53.0726,46.5677,22.5911,29.3795,99.9697,97.4657,152.512,182.366
ENSMUSG00000031842,Pde4c,1.50327,0.297589,0.872985,4.31159,1.26378,1.29121,5.99814,11.9568
ENSMUSG00000031843,Mphosph6,19.1162,43.1726,16.0685,21.9686,33.4523,29.3663,22.8772,24.184
ENSMUSG00000031844,Hsd17b2,0,0,0,0,0.0395882,0,0,0
ENSMUSG00000031845,Bcmo1,0.039698,0,0,0,0.0386769,0.0723128,0.132754,0.127208
ENSMUSG00000031847,1700030J22Rik,0.136874,0.051011,0,0.154598,0.133263,0.0554708,0.218125,0.0835406
ENSMUSG00000031848,Lsm4,210.721,459.789,171.387,178.673,123.223,96.7673,76.1227,69.337
ENSMUSG00000031849,Comp,17.3375,10.3526,21.5193,14.9063,57.6059,57.5017,214.26,153.606
ENSMUSG00000031851,Ntpcr,17.2687,28.935,13.7379,14.1686,16.4269,15.7369,16.768,16.6342
ENSMUSG00000031853,BC021891,0.0455116,0,0.116944,0.00701168,0.0663904,0.0346494,0.0435688,0.00694405
ENSMUSG00000031858,Mau2,12.4886,10.4349,20.2605,18.0729,9.80224,8.10186,9.53932,8.25104
ENSMUSG00000031860,Pbx4,3.07532,9.0076,2.60809,2.847,1.35265,0.933639,0.303649,0.667004
ENSMUSG00000031861,Lpar2,0.196886,0.118585,0.379436,0.090997,0.029454,0.0415066,0.0289938,0.0277263
ENSMUSG00000031862,Atp13a1,17.4616,10.7117,30.7546,24.6439,9.61203,9.43837,23.2394,20.3253
ENSMUSG00000031864,Ints10,15.6391,11.2628,11.3546,9.77818,13.6155,15.2819,12.2148,11.8514
ENSMUSG00000031865,Dctn1,15.857,8.56612,22.7949,33.5938,9.94829,13.5702,41.7594,51.6488
ENSMUSG00000031870,Pgr,0.210704,0,0.0312189,0,0.0473476,0.132996,0.124008,0
ENSMUSG00000031871,Cdh5,1.32738,2.17721,1.03368,3.54765,4.94021,6.50244,15.018,18.9876
ENSMUSG00000031872,Bean1,0.113335,0.332656,0.368441,0.0130889,0.937645,0.400432,0.284415,0.544929
ENSMUSG00000031875,Cmtm3,24.0815,34.3128,17.1086,19.8238,136.6,102.352,79.3674,73.3403
ENSMUSG00000031876,Cmtm1,0.100644,0,0.169535,0,0.073601,0.0859631,0,0
ENSMUSG00000031877,Ces2g,1.7451,1.41893,0.56533,0.967591,12.5588,10.2837,8.06914,11.2709
ENSMUSG00000031878,Nae1,35.1823,36.8733,33.3803,34.1802,37.1419,42.9555,33.4954,42.4057
ENSMUSG00000031879,Fam96b,63.8481,124.487,60.7404,70.2528,84.7663,68.5391,61.6886,72.9355
ENSMUSG00000031880,Rrad,247.087,337.948,411.939,510.403,274.642,254.392,578.124,600.153
ENSMUSG00000031881,Cdh16,0.0327381,0,0,0,0,0,0.0625903,0
ENSMUSG00000031883,Car7,2.48786,4.5707,1.9463,3.00006,9.85976,11.6818,15.8369,21.3072
ENSMUSG00000031884,Ces2d-ps,0.0254095,0,0.12229,0,0,0,0.0242569,0
ENSMUSG00000031885,Cbfb,12.1294,25.6039,32.3452,33.674,31.5659,27.0744,15.6658,12.0366
ENSMUSG00000031886,Ces2e,0.283403,0.844526,0,0.80728,4.81278,4.50011,3.73746,2.8568
ENSMUSG00000031887,Tradd,15.7644,16.4675,12.6562,14.0203,15.005,9.16105,11.4025,11.0538
ENSMUSG00000031889,D230025D16Rik,23.1044,19.4594,18.6822,18.0763,14.5822,11.9782,9.63252,8.85199
ENSMUSG00000031891,Hsd11b2,0.0260361,0.232724,0.100241,0.0481024,0.0761706,0.0473536,0.0497052,0.309899
ENSMUSG00000031893,Tsnaxip1,0.0238128,0.0266109,0,0,0,0.0577807,0,0
ENSMUSG00000031896,Ctrl,0.659328,0.587906,0.189932,0.243273,1.42303,0.534296,0.375267,0.422696
ENSMUSG00000031897,Psmb10,88.897,185.456,81.1223,81.2067,61.8551,60.0451,55.9456,76.4199
ENSMUSG00000031898,Dpep3,0,0,0,0,0,0,0.0831444,0.026597
ENSMUSG00000031901,Dus2l,12.5798,20.1618,6.07302,9.39219,11.7375,13.5806,9.54013,9.24742
ENSMUSG00000031902,Nfatc3,28.8965,18.1962,69.0092,46.7943,4.61005,5.57915,4.95655,4.53947
ENSMUSG00000031903,Pla2g15,3.59376,1.15058,8.28679,4.47462,3.94344,5.9207,16.9186,19.7257
ENSMUSG00000031904,Slc7a6,16.8436,15.3822,17.2559,14.4586,8.12613,8.79156,9.36366,8.80844
ENSMUSG00000031906,Smpd3,1.23202,0.404916,1.69758,0.736466,0.565233,0.439572,1.98368,1.39343
ENSMUSG00000031907,Zfp90,3.48809,1.7723,3.50253,2.65426,5.99613,6.16883,3.3334,3.46673
ENSMUSG00000031910,Has3,0.0218695,0.154162,0,0.00673866,0.23394,0.29306,0.390425,0.305062
ENSMUSG00000031913,Vps4a,36.7553,27.5949,28.1049,31.1356,44.5829,46.8717,32.7877,31.8446
ENSMUSG00000031916,Cog8,15.0807,15.8617,22.4097,17.9925,9.38439,7.08588,11.5025,12.8525
ENSMUSG00000031917,Nip7,24.8794,43.9174,24.5337,28.5604,19.3135,15.1989,11.4127,11.156
ENSMUSG00000031918,Mtmr2,25.4768,27.4007,36.2175,27.7519,40.1363,44.7688,29.0204,29.7
ENSMUSG00000031919,Tmed6,0.206047,0.306159,0,0.063348,0.134817,0.0617997,0,0.125809
ENSMUSG00000031921,Terf2,5.14985,7.79138,5.85171,7.76104,4.29818,3.55994,3.51156,2.26845
ENSMUSG00000031922,Cep57,55.9007,41.9069,58.1565,43.7015,16.7641,20.7451,14.4899,20.3276
ENSMUSG00000031924,Cyb5b,34.776,26.0737,24.518,27.0536,40.254,57.9229,51.7252,49.5979
ENSMUSG00000031925,Maml2,4.96901,3.09532,8.57986,5.77599,2.01104,2.79323,3.27578,4.05865
ENSMUSG00000031927,1700012B09Rik,0.693605,0.220432,0,0.273866,0.293068,0,0,0
ENSMUSG00000031928,Mre11a,8.29467,4.90297,10.0065,4.99271,2.93045,5.47642,4.84494,4.38522
ENSMUSG00000031930,Wwp2,38.6151,22.7003,49.8687,40.5106,14.9517,18.2954,32.1911,36.4959
ENSMUSG00000031931,Ankrd49,6.77283,5.40474,2.20826,4.54527,7.03784,5.55353,5.01238,5.31533
ENSMUSG00000031932,Gpr83,2.09869,0.625516,2.07518,0.299533,0.439031,0.130138,4.13758,0.555371
ENSMUSG00000031933,Folr4,18.4848,18.3173,15.9279,15.4466,1.26348,0.266121,0.639091,0.110085
ENSMUSG00000031934,Panx1,5.96943,23.1024,31.6398,32.9508,8.04283,4.878,5.09817,4.64278
ENSMUSG00000031935,Med17,9.68392,11.8557,9.44919,7.1394,7.96817,8.27032,4.75716,5.74446
ENSMUSG00000031936,Hephl1,0.0988732,0.165889,0,0,0.0480821,0.00752629,0,0
ENSMUSG00000031937,2200002K05Rik,0.144944,0.647866,0.279054,0,1.97832,1.2308,1.47622,0.862598
ENSMUSG00000031938,4931406C07Rik,1.45107,1.02133,0.75906,1.30773,4.83332,4.94624,3.80106,3.7395
ENSMUSG00000031939,Taf1d,68.8013,76.6582,65.8207,55.1798,34.5554,44.914,21.6952,26.1343
ENSMUSG00000031948,Kars,77.7856,87.3854,75.2413,68.7474,65.5759,63.6815,47.5913,53.5978
ENSMUSG00000031949,Adat1,1.7116,1.45727,1.14214,1.24534,1.65558,0.876668,0.443712,0.937392
ENSMUSG00000031950,Gabarapl2,151.215,299.613,140.332,157.817,179.497,173.563,173.834,193.893
ENSMUSG00000031951,Tmem231,1.91481,0.403594,1.33023,2.81379,5.08897,3.3056,4.50182,7.05532
ENSMUSG00000031952,Chst5,1.18244,1.01848,1.51763,0.500662,6.72506,5.51282,3.73962,3.96962
ENSMUSG00000031953,Tmem170,0.661956,0.657495,0.755204,1.1551,0.741001,1.15979,1.68538,0.538733
ENSMUSG00000031954,Cfdp1,81.6589,105.005,65.4935,73.3089,106.283,113.909,83.2983,104.733
ENSMUSG00000031955,Bcar1,3.86947,3.70024,5.10876,9.84386,10.5062,11.1031,38.6043,39.0942
ENSMUSG00000031957,Ctrb1,0.0660386,0.294422,0,0,0.129576,0.17838,0.0626438,0
ENSMUSG00000031958,Ldhd,1.78035,1.1585,1.70152,1.02109,1.26656,1.05542,3.1713,2.27143
ENSMUSG00000031959,Wdr59,1.83077,1.33398,1.10057,1.0789,1.40514,1.17371,1.18162,1.03793
ENSMUSG00000031960,Aars,14.0709,7.97815,17.2326,20.2397,10.6973,9.20537,17.7849,19.9021
ENSMUSG00000031962,Cdh15,15.7961,15.6745,2.32368,14.6495,29.53,19.6131,11.337,17.4141
ENSMUSG00000031963,Bmper,2.46161,0.0521859,0.415834,2.6633,25.3048,21.0181,19.6437,13.1157
ENSMUSG00000031965,Tbx20,0.0326841,0.108931,0.0524793,0.0201393,0,0.0489845,0.0257107,0
ENSMUSG00000031966,Glb1l3,0.0373566,0,0.0179861,0,0,0,0,0
ENSMUSG00000031967,Afg3l1,8.18701,3.24026,8.84742,15.0944,3.9038,5.9433,6.86996,10.8415
ENSMUSG00000031969,Acad8,20.3152,16.0925,7.29474,9.64404,31.0545,27.5573,23.4621,19.5305
ENSMUSG00000031970,Dbndd1,0.449494,0,0.526186,0,0.257997,0.272589,0.13272,0.221906
ENSMUSG00000031971,1700054N08Rik,1.78271,1.64775,3.07697,3.61754,0.793148,0.529237,0.963163,0.497448
ENSMUSG00000031972,Acta1,15.4628,10.2684,12.8978,8.81351,11.5622,10.269,15.4363,14.4772
ENSMUSG00000031974,Abcb10,4.99176,3.70318,3.65087,4.32218,6.92733,7.25385,6.76504,8.06671
ENSMUSG00000031976,Urb2,2.92058,1.09826,2.6826,3.43662,0.913774,0.871723,1.00215,0.64172
ENSMUSG00000031979,Cog2,16.5049,15.1917,18.6243,17.5391,13.2789,15.4735,15.8658,15.4019
ENSMUSG00000031980,Agt,0.506005,0.763278,1.31506,1.02837,3.70048,6.58139,11.3519,11.3969
ENSMUSG00000031981,Capn9,0,0.111357,0,0,0,0,0.0190381,0
ENSMUSG00000031982,Arv1,3.88233,4.74035,2.3712,2.5719,1.83158,1.90131,2.82519,2.21674
ENSMUSG00000031983,2310022B05Rik,0.434365,0.834783,2.10506,3.27418,2.73499,1.78307,5.115,2.79607
ENSMUSG00000031984,2810004N23Rik,21.499,20.7169,16.1827,12.9176,12.9449,16.627,11.4714,10.5171
ENSMUSG00000031985,Gnpat,52.4784,36.9872,38.0523,44.9437,33.9592,30.2887,29.6698,36.2519
ENSMUSG00000031986,Gm505,1.95601,1.73885,4.45102,2.6491,0.736562,0.829531,0.700579,1.567
ENSMUSG00000031987,Egln1,2.1022,5.59362,2.39099,1.36937,4.2398,3.29315,3.71887,2.08687
ENSMUSG00000031988,Vps26b,3.86936,4.61432,8.9466,8.8358,4.986,3.9918,7.17131,9.20639
ENSMUSG00000031990,Jam3,18.8094,15.3495,14.4488,21.1136,60.8714,56.8605,43.6115,60.0112
ENSMUSG00000031991,Spata19,0,0,0,0,0,0,0,0
ENSMUSG00000031993,Snx19,3.69918,0.994772,4.48929,5.25213,1.47177,2.43132,5.43953,7.88722
ENSMUSG00000031994,Adamts8,0.481349,0,0.711651,2.75746,1.12277,1.26688,8.91241,6.05756
ENSMUSG00000031995,St14,4.65749,2.76774,5.39957,5.26455,1.226,0.672994,13.9559,1.60296
ENSMUSG00000031996,Aplp2,83.571,46.2841,90.7104,102.806,164.41,208.574,315.283,375.885
ENSMUSG00000031997,Trpc6,1.30228,0.928149,1.58342,1.6547,2.18017,2.86404,3.57226,5.17146
ENSMUSG00000031998,1700128F08Rik,0.0486421,0,0,0,0,0.0439858,0,0
ENSMUSG00000032000,Birc3,98.0351,70.1389,100.258,99.1175,62.4975,82.3785,106.575,108.902
ENSMUSG00000032002,Dcun1d5,11.5072,94.3135,79.4756,77.5644,73.18,41.274,39.424,25.4584
ENSMUSG00000032006,Pdgfd,5.1144,4.62391,1.64155,3.60302,21.5919,29.0418,35.5441,49.7459
ENSMUSG00000032009,Sesn3,7.09224,13.7924,16.6215,13.7865,1.64869,1.59934,1.36732,2.24389
ENSMUSG00000032010,Usp2,13.962,16.4919,12.9425,28.212,20.1621,26.5433,44.0773,63.0717
ENSMUSG00000032011,Thy1,15.3903,46.892,13.5191,15.9477,6.00515,4.98513,2.56341,2.5877
ENSMUSG00000032012,Pvrl1,0.128932,0.326879,0.339559,0.309863,0.41802,0.243375,0.230363,0.118034
ENSMUSG00000032013,Trim29,0.0802189,0.0717476,0.803487,0,0.171846,0.24865,2.04002,0.146885
ENSMUSG00000032014,Oaf,1.02723,1.90645,0.989119,0.877509,7.85491,5.56123,3.83363,3.63768
ENSMUSG00000032015,Pou2f3,0.0470938,0.276481,0.362929,0.140836,0.44678,0.43346,0.309048,0.314081
ENSMUSG00000032017,Grik4,0.120379,0,0.0493898,0.0617131,0.208226,0.53644,0.626809,1.60392
ENSMUSG00000032018,Sc5d,38.5333,48.4719,48.3045,39.2155,73.8441,76.4539,38.6146,38.6865
ENSMUSG00000032020,Ubash3b,6.8378,3.26982,13.6748,15.9292,2.75871,1.89788,2.81126,3.83381
ENSMUSG00000032021,Crtam,8.57995,8.04606,13.1745,7.76086,0.298803,0.650287,0.463158,0.280561
ENSMUSG00000032023,4931429I11Rik,0.0903354,0,0,0,0,0,0.197313,0.0134131
ENSMUSG00000032024,9030425E11Rik,1.54517,2.82706,1.08252,2.26077,12.6819,5.73292,4.16044,2.31576
ENSMUSG00000032026,Rexo2,90.1141,217.766,88.3155,121.944,151.676,138.677,109.665,137.027
ENSMUSG00000032028,Fam55b,2.08164,2.67064,0.769206,0.643047,2.5159,3.26356,4.11153,4.9373
ENSMUSG00000032030,Cul5,8.68337,5.43687,14.0451,8.51211,9.87064,12.182,7.8427,11.1851
ENSMUSG00000032033,Barx2,0.149595,0.0835781,0,0.0690981,0.0972401,0.158757,0.119017,0
ENSMUSG00000032034,Kcnj5,0.00972865,0.0870465,0.00937316,0,0.132499,0.0266499,0,0
ENSMUSG00000032035,Ets1,259.25,160.905,415.37,333.326,21.8888,32.8203,66.614,82.928
ENSMUSG00000032036,Kirrel3,0.768939,0.296564,0.339544,0.439984,5.8496,3.79008,3.48241,4.2617
ENSMUSG00000032038,St3gal4,17.3521,24.8902,19.8253,24.8003,51.4035,47.1165,55.2568,48.0029
ENSMUSG00000032040,Dcps,50.3344,97.8429,34.0136,38.938,32.1385,31.714,24.2926,34.0289
ENSMUSG00000032041,Tirap,3.79515,3.35842,5.84912,4.48016,6.18609,6.86798,8.90163,7.75886
ENSMUSG00000032042,Srpr,55.5889,35.1819,59.8988,60.5056,73.8016,77.5258,97.2141,89.6939
ENSMUSG00000032044,Rpusd4,15.1143,18.1161,15.4785,10.9868,9.26706,8.1592,5.72641,5.78519
ENSMUSG00000032046,Abhd12,19.766,49.8231,63.1228,53.1823,70.2867,57.1493,70.2249,55.8348
ENSMUSG00000032047,Acat1,43.9748,55.3283,38.2137,43.4518,74.7456,72.5383,61.5434,69.0945
ENSMUSG00000032048,4930510E17Rik,0.568771,0.735661,0.777778,0.193544,0.467355,0.435139,0.228457,0
ENSMUSG00000032050,Rdx,22.6463,19.5908,34.9392,34.6233,35.6349,45.9183,37.1343,39.1205
ENSMUSG00000032051,Fdx1,17.5592,62.152,24.1856,33.77,80.0889,58.1854,70.7285,51.7718
ENSMUSG00000032053,Pou2af1,29.7221,29.9669,24.8505,25.8283,1.1322,1.02665,0.46149,0.196474
ENSMUSG00000032056,Btg4,0.0393057,0.0752309,0,0,0.0768168,0,0,0
ENSMUSG00000032057,4833427G06Rik,0,0,0,0,0,0,0,0
ENSMUSG00000032058,Ppp2r1b,53.4763,37.9694,59.6064,45.0163,20.2716,26.6849,20.0452,17.3444
